,target_sequence,target_sequence_count,stability_point,route_similarity_score,route_similarity_score_rate_of_change
0,"[85, 122, 124, 179, 181, 238, 236, 293, 295, 332]",30,11,"[nan, nan, 856.8, 784.2, 787.0, 654.2, 350.0, 168.8, 102.8, 39.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan]","[nan, nan, -72.59999999999991, -34.89999999999998, -65.0, -218.5, -242.70000000000002, -123.6, -64.80000000000001, -51.4, -19.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan]"
1,"[85, 122, 124, 181, 238, 295, 293, 332, 236, 179]",27,14,"[nan, nan, 1007.2, 1059.2, 842.8, 825.0, 698.6, 657.8, 530.4, 423.6, 113.4, 52.0, 15.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan]","[nan, nan, 52.0, -82.20000000000005, -117.10000000000002, -72.09999999999997, -83.60000000000002, -84.10000000000002, -117.09999999999997, -208.5, -185.8, -48.800000000000004, -26.0, -7.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan]"
2,"[85, 124, 122, 179, 181, 238, 293, 332, 295, 236]",26,15,"[nan, nan, 998.2, 1079.6, 1121.0, 751.0, 530.4, 497.2, 394.8, 220.8, 168.2, 95.2, 47.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan]","[nan, nan, 81.39999999999986, 61.39999999999998, -164.29999999999995, -295.3, -126.9, -67.79999999999998, -138.2, -113.30000000000001, -62.800000000000004, -60.599999999999994, -47.4, -23.5, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan]"
3,[],0,-1,"[nan, nan, 1145.0, 1088.0, 1017.8, 896.2, 670.8, 356.6, 353.4, 411.0, 414.8, 395.6, 388.0, 333.0, 479.8, 496.0, 539.0, 529.6, 537.6, 332.8, 313.0, 255.0, 290.8, 252.6, 287.6, 273.4, 273.4, 277.6, 286.6, 200.6, 202.8, 197.2, 154.8, 164.8, 208.0, 182.8, 141.2, 144.4, nan, nan]","[nan, nan, -57.0, -63.60000000000002, -95.89999999999998, -173.5, -269.8, -158.7, 27.19999999999999, 30.700000000000017, -7.699999999999989, -13.400000000000006, -31.30000000000001, 45.900000000000006, 81.5, 29.599999999999994, 16.80000000000001, -0.6999999999999886, -98.4, -112.30000000000001, -38.900000000000006, -11.099999999999994, -1.2000000000000028, -1.5999999999999943, 10.399999999999991, -7.100000000000023, 2.1000000000000227, 6.600000000000023, -38.500000000000014, -41.900000000000006, -1.7000000000000028, -24.0, -16.19999999999999, 26.599999999999994, 9.0, -33.400000000000006, -19.200000000000003, 3.200000000000017, nan, nan]"
4,"[85, 122, 124, 179, 181, 238, 236, 293, 295, 332]",29,12,"[nan, nan, 1175.2, 986.8, 976.6, 786.8, 420.0, 347.4, 96.8, 43.6, 4.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan]","[nan, nan, -188.4000000000001, -99.30000000000001, -100.0, -278.3, -219.7, -161.6, -151.89999999999998, -46.3, -21.8, -2.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan]"
5,"[85, 124, 122, 179, 181, 238, 236, 293, 295, 332]",30,11,"[nan, nan, 479.6, 546.2, 537.2, 500.4, 311.4, 256.8, 104.6, 51.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan]","[nan, nan, 66.60000000000002, 28.80000000000001, -22.900000000000034, -112.90000000000003, -121.79999999999998, -103.39999999999999, -102.7, -52.3, -25.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan]"
6,"[85, 122, 124, 181, 179, 236, 238, 295, 293, 332]",26,15,"[nan, nan, 1431.0, 1077.0, 1294.0, 1110.4, 926.0, 699.8, 626.6, 200.2, 158.6, 108.4, 45.0, 0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan]","[nan, nan, -354.0, -68.5, 16.700000000000045, -184.0, -205.30000000000007, -149.7, -249.79999999999998, -234.0, -45.89999999999999, -56.8, -53.900000000000006, -22.5, -0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan]"
7,"[85, 122, 124, 181, 238, 295, 332, 293, 236, 179]",28,13,"[nan, nan, 997.0, 1149.8, 1178.2, 1040.0, 802.0, 766.2, 512.2, 109.8, 64.2, 29.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan]","[nan, nan, 152.79999999999995, 90.60000000000002, -54.89999999999998, -188.10000000000002, -136.89999999999998, -144.89999999999998, -328.20000000000005, -224.00000000000003, -40.0, -32.1, -14.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan]"
8,"[85, 124, 122, 179, 236, 238, 295, 332, 293, 181]",23,18,"[nan, nan, 592.6, 691.4, 690.2, 698.0, 670.2, 443.4, 352.0, 637.0, 663.8, 645.2, 605.0, 520.4, 152.2, 45.8, 12.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan]","[nan, nan, 98.79999999999995, 48.80000000000001, 3.3000000000000114, -10.0, -127.30000000000001, -159.10000000000002, 96.80000000000001, 155.89999999999998, 4.100000000000023, -29.399999999999977, -62.400000000000034, -226.4, -237.29999999999998, -70.1, -22.9, -6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan]"
9,"[85, 124, 122, 181, 179, 238, 295, 293, 332, 236]",25,16,"[nan, nan, 803.2, 803.2, 765.0, 723.4, 588.2, 309.4, 285.8, 221.6, 201.0, 146.6, 109.8, 67.8, 30.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan]","[nan, nan, 0.0, -19.100000000000023, -39.900000000000034, -88.39999999999998, -207.0, -151.20000000000002, -43.89999999999999, -42.400000000000006, -37.5, -45.6, -39.4, -39.9, -33.9, -15.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan]"
