,target_sequence,target_sequence_count,c_score_stability_index,c_score_indexes,c_score_indexes_rate_of_change
0,"[85, 120, 158, 196, 234, 164, 126, 202, 240, 275]",26,15,"[nan, nan, 678.6, 776.2, 768.8, 804.6, 736.2, 506.4, 347.6, 294.8, 243.0, 233.4, 191.0, 152.6, 96.6, 49.4, 8.4, 6.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan]","[nan, nan, 97.60000000000002, 45.099999999999966, 14.199999999999989, -16.299999999999955, -149.10000000000002, -194.3, -105.79999999999998, -52.30000000000001, -30.700000000000003, -26.0, -40.400000000000006, -47.2, -51.599999999999994, -44.099999999999994, -21.5, -4.2, -3.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan]"
1,"[85, 126, 164, 202, 240, 275, 234, 196, 158, 120]",31,10,"[nan, nan, 640.0, 673.0, 868.0, 629.8, 725.0, 695.4, 553.8, 299.8, 246.2, 60.0, 17.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan]","[nan, nan, 33.0, 114.0, -21.600000000000023, -71.5, 32.80000000000001, -85.60000000000002, -197.79999999999998, -153.79999999999998, -119.9, -114.39999999999999, -30.0, -8.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan]"
2,"[85, 126, 164, 202, 240, 275, 234, 196, 158, 120]",31,10,"[nan, nan, 725.8, 959.8, 1054.4, 1394.8, 1281.6, 1258.8, 818.0, 567.2, 149.2, 46.2, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan]","[nan, nan, 234.0, 164.30000000000007, 217.5, 113.59999999999991, -68.0, -231.79999999999995, -345.79999999999995, -334.4, -260.5, -69.6, -23.1, -5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan]"
3,"[85, 126, 164, 202, 240, 275, 234, 196, 158, 120]",31,9,"[nan, nan, 798.6, 1100.4, 1182.6, 951.8, 791.4, 752.2, 391.0, 166.4, 96.8, 42.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan]","[nan, nan, 301.80000000000007, 191.99999999999994, -74.30000000000007, -195.59999999999997, -99.79999999999995, -200.2, -292.90000000000003, -147.1, -62.1, -48.4, -21.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan]"
4,"[85, 126, 164, 202, 240, 275, 234, 196, 158, 120]",32,9,"[nan, nan, 1162.6, 1050.8, 916.2, 895.8, 470.4, 302.6, 215.6, 164.0, 58.8, 8.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan]","[nan, nan, -111.79999999999995, -123.19999999999993, -77.5, -222.90000000000003, -296.59999999999997, -127.39999999999999, -69.30000000000001, -78.4, -77.6, -29.4, -4.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan]"
5,"[85, 126, 164, 202, 240, 275, 234, 196, 158, 120]",28,12,"[nan, nan, 671.6, 594.6, 926.0, 763.2, 664.0, 654.4, 886.0, 781.8, 744.4, 692.2, 639.4, 348.2, 23.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan]","[nan, nan, -77.0, 127.19999999999999, 84.30000000000001, -131.0, -54.400000000000034, 111.0, 63.69999999999999, -70.80000000000001, -44.799999999999955, -52.5, -172.00000000000003, -308.09999999999997, -174.1, -11.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan]"
6,"[85, 120, 158, 196, 234, 275, 240, 202, 164, 126]",31,10,"[nan, nan, 1062.8, 1039.4, 1021.8, 1043.2, 851.8, 340.2, 302.2, 229.6, 168.2, 71.0, 19.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan]","[nan, nan, -23.399999999999864, -20.5, 1.8999999999999773, -85.0, -351.5, -274.79999999999995, -55.3, -67.0, -79.3, -74.6, -35.5, -9.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan]"
7,"[85, 120, 158, 196, 234, 275, 240, 202, 164, 126]",32,9,"[nan, nan, 463.2, 431.2, 498.2, 690.6, 703.8, 557.6, 487.0, 380.4, 82.2, 4.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan]","[nan, nan, -32.0, 17.5, 129.70000000000002, 102.79999999999998, -66.5, -108.39999999999998, -88.60000000000002, -202.4, -188.1, -41.1, -2.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan]"
8,"[85, 126, 164, 202, 240, 275, 234, 196, 158, 120]",31,10,"[nan, nan, 1480.6, 1053.4, 1184.2, 931.4, 842.4, 395.8, 367.2, 178.0, 101.8, 51.4, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan]","[nan, nan, -427.1999999999998, -148.19999999999993, -61.00000000000006, -170.90000000000003, -267.79999999999995, -237.6, -108.9, -132.7, -63.3, -49.9, -25.7, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan]"
9,"[85, 126, 164, 202, 240, 275, 234, 158, 120, 196]",8,33,"[nan, nan, 612.8, 623.8, 478.2, 515.2, 421.8, 400.4, 385.2, 370.2, 560.6, 572.4, 523.4, 484.0, 457.4, 184.2, 100.4, 108.0, 126.0, 93.6, 79.2, 61.2, 79.2, 46.8, 61.2, 93.6, 79.2, 46.8, 63.2, 70.0, 70.0, 102.4, 102.4, 86.0, 64.8, 32.4, 0.0, 0.0, nan, nan]","[nan, nan, 11.0, -67.29999999999998, -54.299999999999955, -28.19999999999999, -57.400000000000034, -18.30000000000001, -15.099999999999994, 87.70000000000002, 101.1, -18.600000000000023, -44.19999999999999, -33.0, -149.9, -178.5, -38.099999999999994, 12.799999999999997, -7.200000000000003, -23.4, -16.199999999999996, 0.0, -7.200000000000003, -9.0, 23.4, 9.0, -23.4, -8.0, 11.600000000000001, 3.3999999999999986, 16.200000000000003, 16.200000000000003, -8.200000000000003, -18.800000000000004, -26.8, -32.4, -16.2, 0.0, nan, nan]"
