,target_sequence,target_sequence_count,target_sequence_including_nest,sequence_manhattan_length,target-sequence-id,target_sequence_type
0,"[85, 120, 158, 196, 234, 275, 240, 202, 164, 126]",440,"[47, 85, 120, 158, 196, 234, 275, 240, 202, 164, 126, 47]",1.0,1,TargetSequenceType.Optimal
1,"[85, 126, 164, 202, 240, 275, 234, 196, 158, 120]",424,"[47, 85, 126, 164, 202, 240, 275, 234, 196, 158, 120, 47]",1.0,2,TargetSequenceType.Optimal
2,[],42,[],0.0,Invalid Trapline,TargetSequenceType.Incomplete
3,"[85, 120, 158, 196, 234, 275, 202, 240, 164, 126]",24,"[47, 85, 120, 158, 196, 234, 275, 202, 240, 164, 126, 47]",1.1111111111111112,3,TargetSequenceType.SubOptimal
4,"[85, 126, 164, 202, 240, 275, 196, 234, 158, 120]",15,"[47, 85, 126, 164, 202, 240, 275, 196, 234, 158, 120, 47]",1.1111111111111112,4,TargetSequenceType.SubOptimal
5,"[85, 126, 164, 202, 240, 275, 234, 196, 120, 158]",10,"[47, 85, 126, 164, 202, 240, 275, 234, 196, 120, 158, 47]",1.1111111111111112,5,TargetSequenceType.SubOptimal
6,"[85, 120, 158, 196, 234, 275, 240, 202, 126, 164]",5,"[47, 85, 120, 158, 196, 234, 275, 240, 202, 126, 164, 47]",1.1111111111111112,6,TargetSequenceType.SubOptimal
7,"[85, 164, 126, 202, 240, 275, 234, 196, 158, 120]",4,"[47, 85, 164, 126, 202, 240, 275, 234, 196, 158, 120, 47]",1.1111111111111112,7,TargetSequenceType.SubOptimal
8,"[85, 120, 158, 196, 234, 202, 164, 126, 240, 275]",4,"[47, 85, 120, 158, 196, 234, 202, 164, 126, 240, 275, 47]",1.3333333333333333,8,TargetSequenceType.SubOptimal
9,"[85, 126, 164, 202, 240, 275, 234, 120, 158, 196]",3,"[47, 85, 126, 164, 202, 240, 275, 234, 120, 158, 196, 47]",1.2222222222222223,9,TargetSequenceType.SubOptimal
10,"[85, 126, 164, 202, 240, 275, 196, 158, 120, 234]",3,"[47, 85, 126, 164, 202, 240, 275, 196, 158, 120, 234, 47]",1.3333333333333333,10,TargetSequenceType.SubOptimal
11,"[85, 120, 158, 196, 234, 164, 126, 202, 240, 275]",3,"[47, 85, 120, 158, 196, 234, 164, 126, 202, 240, 275, 47]",1.3333333333333333,11,TargetSequenceType.SubOptimal
12,"[85, 126, 164, 202, 240, 275, 234, 158, 120, 196]",2,"[47, 85, 126, 164, 202, 240, 275, 234, 158, 120, 196, 47]",1.2222222222222223,12,TargetSequenceType.SubOptimal
13,"[85, 126, 164, 202, 240, 196, 158, 120, 234, 275]",2,"[47, 85, 126, 164, 202, 240, 196, 158, 120, 234, 275, 47]",1.3333333333333333,13,TargetSequenceType.SubOptimal
14,"[85, 126, 164, 202, 240, 275, 234, 158, 196, 120]",2,"[47, 85, 126, 164, 202, 240, 275, 234, 158, 196, 120, 47]",1.1111111111111112,14,TargetSequenceType.SubOptimal
15,"[85, 164, 202, 240, 275, 234, 196, 158, 120, 126]",2,"[47, 85, 164, 202, 240, 275, 234, 196, 158, 120, 126, 47]",1.1666666666666667,15,TargetSequenceType.SubOptimal
16,"[85, 120, 158, 196, 164, 126, 202, 240, 275, 234]",1,"[47, 85, 120, 158, 196, 164, 126, 202, 240, 275, 234, 47]",1.3888888888888888,16,TargetSequenceType.SubOptimal
17,"[85, 126, 164, 202, 240, 158, 196, 234, 275, 120]",1,"[47, 85, 126, 164, 202, 240, 158, 196, 234, 275, 120, 47]",1.3888888888888888,17,TargetSequenceType.SubOptimal
18,"[85, 120, 158, 196, 234, 275, 202, 164, 126, 240]",1,"[47, 85, 120, 158, 196, 234, 275, 202, 164, 126, 240, 47]",1.3333333333333333,18,TargetSequenceType.SubOptimal
19,"[85, 120, 158, 196, 234, 275, 126, 164, 202, 240]",1,"[47, 85, 120, 158, 196, 234, 275, 126, 164, 202, 240, 47]",1.3333333333333333,19,TargetSequenceType.SubOptimal
20,"[85, 120, 158, 196, 234, 275, 240, 164, 126, 202]",1,"[47, 85, 120, 158, 196, 234, 275, 240, 164, 126, 202, 47]",1.2222222222222223,20,TargetSequenceType.SubOptimal
21,"[85, 120, 158, 196, 202, 164, 126, 240, 275, 234]",1,"[47, 85, 120, 158, 196, 202, 164, 126, 240, 275, 234, 47]",1.3888888888888888,21,TargetSequenceType.SubOptimal
22,"[85, 120, 158, 196, 234, 275, 240, 164, 202, 126]",1,"[47, 85, 120, 158, 196, 234, 275, 240, 164, 202, 126, 47]",1.1111111111111112,22,TargetSequenceType.SubOptimal
23,"[85, 126, 164, 202, 240, 275, 196, 120, 158, 234]",1,"[47, 85, 126, 164, 202, 240, 275, 196, 120, 158, 234, 47]",1.3333333333333333,23,TargetSequenceType.SubOptimal
24,"[85, 126, 164, 202, 240, 275, 158, 196, 234, 120]",1,"[47, 85, 126, 164, 202, 240, 275, 158, 196, 234, 120, 47]",1.2222222222222223,24,TargetSequenceType.SubOptimal
25,"[85, 126, 164, 202, 240, 196, 234, 275, 120, 158]",1,"[47, 85, 126, 164, 202, 240, 196, 234, 275, 120, 158, 47]",1.3888888888888888,25,TargetSequenceType.SubOptimal
26,"[85, 126, 164, 202, 240, 275, 196, 158, 234, 120]",1,"[47, 85, 126, 164, 202, 240, 275, 196, 158, 234, 120, 47]",1.2222222222222223,26,TargetSequenceType.SubOptimal
27,"[85, 126, 120, 158, 196, 234, 275, 240, 202, 164]",1,"[47, 85, 126, 120, 158, 196, 234, 275, 240, 202, 164, 47]",1.1666666666666667,27,TargetSequenceType.SubOptimal
28,"[85, 120, 158, 196, 234, 275, 164, 126, 202, 240]",1,"[47, 85, 120, 158, 196, 234, 275, 164, 126, 202, 240, 47]",1.3333333333333333,28,TargetSequenceType.SubOptimal
29,"[85, 126, 164, 202, 240, 158, 120, 196, 234, 275]",1,"[47, 85, 126, 164, 202, 240, 158, 120, 196, 234, 275, 47]",1.3333333333333333,29,TargetSequenceType.SubOptimal
30,"[85, 126, 164, 202, 275, 240, 196, 158, 120, 234]",1,"[47, 85, 126, 164, 202, 275, 240, 196, 158, 120, 234, 47]",1.5,30,TargetSequenceType.SubOptimal
